   Here is the Output File
Pickup        Dropoff     Passengers       Distance           Fare           Toll     Total Fare  Cost per Mile 
129               7              3            1.3            7.5              0            7.5        5.76923
36               69              1          11.41             32           5.76          37.76        2.80456
7                41              1            4.6             15           5.76          20.76        3.26087
150              61              2           6.75             23              0             23        3.40741
112              17              1           3.84             15              0             15        3.90625
80              112              6           1.64            9.5              0            9.5        5.79268
256             183              1          16.08           44.5              0           44.5        2.76741
138             166              2            7.4           24.5           6.12          30.62        3.31081
142              50              5            1.7              8              0              8        4.70588
107             163              0            3.6             17              0             17        4.72222
132               3              2           19.1             52           6.12          58.12        2.72251
48               41              1           4.07             18           4.36          22.36         4.4226
132             226              1           14.3             39              0             39        2.72727
229             151              1           3.96           14.5           4.58          19.08        3.66162
238             166              1           0.76            4.5              0            4.5        5.92105
151             238              2           0.64              5            2.2            7.2         7.8125
138              82              4              3             12              0             12              4
264             231              3          10.74           32.5              0           32.5        3.02607
170             114              5           2.01              9              0              9        4.47761
186              87              2           3.45             12              0             12        3.47826
209             256              1           3.79             17              0             17        4.48549
132             107              1           17.2             52           6.12          58.12        3.02326
232             112              1            3.1             11              0             11        3.54839
164             141              3           2.85           10.5              0           10.5        3.68421
129               7              3            1.3            7.5              0            7.5        5.76923
36               69              1          11.41             32           5.76          37.76        2.80456
7                41              1            4.6             15           5.76          20.76        3.26087
150              61              2           6.75             23              0             23        3.40741
112              17              1           3.84             15              0             15        3.90625
80              112              6           1.64            9.5              0            9.5        5.79268
256             183              1          16.08           44.5              0           44.5        2.76741
138             166              2            7.4           24.5           6.12          30.62        3.31081
142              50              5            1.7              8              0              8        4.70588
107             163              0            3.6             17              0             17        4.72222
132               3              2           19.1             52           6.12          58.12        2.72251
48               41              1           4.07             18           4.36          22.36         4.4226
132             226              1           14.3             39              0             39        2.72727
229             151              1           3.96           14.5           4.58          19.08        3.66162
238             166              1           0.76            4.5              0            4.5        5.92105
151             238              2           0.64              5            2.2            7.2         7.8125
138              82              4              3             12              0             12              4
264             231              3          10.74           32.5              0           32.5        3.02607
170             114              5           2.01              9              0              9        4.47761
186              87              2           3.45             12              0             12        3.47826
209             256              1           3.79             17              0             17        4.48549
132             107              1           17.2             52           6.12          58.12        3.02326
232             112              1            3.1             11              0             11        3.54839
164             141              3           2.85           10.5              0           10.5        3.68421


	** Total Records: 47 **
		 The End 
